src,dst,shapley_raw,shapley_normalized
1541,2919,188.16420650482178,0.00021666560956654356
5052,5157,167.9201717376709,0.00019335519248783818
35,41,114.72534942626953,0.00013210290218262328
314,1015,110.2410659790039,0.00012693938025346152
1380,5040,95.1800308227539,0.00010959703643873377
2833,3042,92.92230606079102,0.00010699733205887004
519,1814,92.69148254394531,0.00010673154549452479
314,2691,89.04550647735596,0.00010253331012550221
1550,1899,86.09766006469727,9.91389507424339e-05
1387,3902,85.60941696166992,9.85767530136572e-05
5259,6206,85.55628395080566,9.85155718974351e-05
46,504,85.39759635925293,9.83328477524286e-05
1721,4133,84.6266016960144,9.744506982810353e-05
1385,5880,82.730544090271,9.526181465671604e-05
560,5895,81.99327850341797,9.441287478257555e-05
61,3676,81.53993606567383,9.389086415451437e-05
53,5894,81.10147762298584,9.338599201374323e-05
2833,5206,80.6064224243164,9.281595035501761e-05
540,663,78.98590087890625,9.094996694098816e-05
1751,5319,76.35741233825684,8.792333885652362e-05
6,1898,76.29412841796875,8.785046926341837e-05
1325,6277,76.22592544555664,8.77719355249013e-05
540,700,75.5815920829773,8.703000440335329e-05
265,7168,75.34944820404053,8.67626974804732e-05
1473,1830,74.77452850341797,8.610069417123061e-05
1287,1810,74.1256856918335,8.535357055034569e-05
1287,1806,73.79198455810547,8.496932340315844e-05
247,4203,73.57874393463135,8.472378302899495e-05
164,1882,72.21706008911133,8.315584369607538e-05
181,3492,72.21402740478516,8.315235164830308e-05
1550,2868,70.82713508605957,8.155538549187238e-05
568,4098,70.29960632324219,8.094795146877732e-05
1849,5635,69.66985702514648,8.022281347319094e-05
1696,3135,69.41557312011719,7.993001295438068e-05
2962,7075,69.08703327178955,7.955170887717573e-05
604,4462,68.65011930465698,7.904861515507355e-05
61,3641,68.6451416015625,7.904288347477558e-05
5082,5840,68.4263563156128,7.879095858308121e-05
7,9,67.82419681549072,7.809758943719698e-05
698,1630,67.80818176269531,7.80791485698258e-05
545,547,67.79956817626953,7.806923027564987e-05
109,7051,67.57471752166748,7.781032128841089e-05
540,617,67.1956434249878,7.737382849441137e-05
1547,5412,67.15615129470825,7.732835445533115e-05
240,7213,66.95689344406128,7.709891483728011e-05
145,4882,66.81408405303955,7.693447397824373e-05
265,2304,66.56343936920166,7.664586391676024e-05
1954,2733,66.36725378036499,7.641996191880305e-05
3418,3780,66.27805233001709,7.631724904384746e-05
61,2282,65.91007995605469,7.589353956057669e-05
2809,4284,65.56637573242188,7.549777414638198e-05
1751,6583,65.40408658981323,7.531090292011381e-05
568,5656,65.3439474105835,7.524165440484793e-05
120,3789,65.1785888671875,7.505124885287059e-05
57,3690,65.05078792572021,7.490408978685833e-05
69,93,64.89235877990723,7.472166323460224e-05
692,7254,64.80624961853027,7.462251104043334e-05
540,3784,64.7424545288086,7.454905285059665e-05
1287,1723,64.2877426147461,7.402546531039678e-05
70,7255,64.24722862243652,7.397881462691782e-05
1795,2884,63.822951316833496,7.349027165293103e-05
84,2631,63.792622089385986,7.345534842988738e-05
1919,2329,63.72567701339722,7.337826312250607e-05
1719,4489,63.67744445800781,7.332272473819529e-05
445,7241,63.545823097229004,7.317116657049251e-05
1785,1978,63.46719932556152,7.308063358480312e-05
1744,6687,63.36846351623535,7.296694217286526e-05
1460,4862,63.29216003417969,7.287908093316016e-05
1919,7055,63.26334762573242,7.284590428306679e-05
667,6032,63.081459045410156,7.263646487447392e-05
265,1304,63.01692008972168,7.256215014461762e-05
1696,3537,62.81641387939453,7.233127307671312e-05
604,2987,62.696083068847656,7.219271564912868e-05
2844,5988,62.540096282958984,7.201310140327035e-05
69,100,62.32961082458496,7.177073352156415e-05
231,6785,62.25619125366211,7.168619302162744e-05
575,1560,62.23097229003906,7.165715411870578e-05
1287,2765,62.121760845184326,7.153140031722235e-05
5082,5709,62.12038040161133,7.152981077660902e-05
1321,5095,61.965301513671875,7.135124194882591e-05
1952,3521,61.77204608917236,7.112871394985627e-05
1741,2580,61.77055263519287,7.112699428104764e-05
3369,6004,61.74870681762695,7.11018394576765e-05
1389,5761,61.74554443359375,7.109819806446488e-05
47,1369,61.6037278175354,7.093490035691624e-05
2052,4373,61.51796817779541,7.083615062674375e-05
1719,2806,61.47990703582764,7.079232432907307e-05
21,22,61.4750862121582,7.078677329086898e-05
692,960,61.194047927856445,7.046316588268631e-05
4,4990,61.15813064575195,7.042180817727731e-05
397,3791,61.060776710510254,7.030970795314513e-05
698,708,61.001129150390625,7.024102552298196e-05
540,665,60.45784950256348,6.961545481403552e-05
145,2277,60.36420822143555,6.950762960310383e-05
229,7062,60.33311080932617,6.94718218377707e-05
445,6268,60.26423263549805,6.93925106244666e-05
1710,6875,60.198073387145996,6.931633017474704e-05
70,4151,60.18780469894409,6.930450607902744e-05
1364,3727,60.172061920166016,6.928637872726602e-05
1380,3374,59.95186901092529,6.903283299830374e-05
1954,7062,59.75696563720703,6.880840743375218e-05
43,3958,59.74831008911133,6.87984408219341e-05
1287,4409,59.61446571350098,6.864432291732653e-05
450,6610,59.57636260986328,6.860044830201373e-05
1670,7219,59.48343276977539,6.849344229474184e-05
540,615,59.300415992736816,6.828270380045254e-05
100,4900,59.18832015991211,6.815362871013661e-05
220,1006,59.11762237548828,6.807222226816913e-05
540,643,58.9911003112793,6.792653579211368e-05
1287,1397,58.86577033996582,6.778222197634609e-05
45,6043,58.55794429779053,6.742776924430293e-05
1751,7112,58.52874755859375,6.739415004853276e-05
69,97,58.487693786621094,6.734687782447545e-05
692,7078,58.291053771972656,6.712045256841653e-05
2442,5653,58.28724384307861,6.711606554613654e-05
1326,2564,58.24632740020752,6.70689514525444e-05
53,3179,58.09204864501953,6.689130395434651e-05
69,89,58.070435523986816,6.686641707426356e-05
619,5965,57.98745536804199,6.677086783881824e-05
1286,5816,57.88244152069092,6.66499474487404e-05
1325,5574,57.67766761779785,6.641415625700539e-05
667,4643,57.59918689727783,6.632378799055055e-05
1321,3258,57.57962894439697,6.630126757680385e-05
1477,3951,57.336280822753906,6.602105929441027e-05
1102,7009,57.2883186340332,6.596583222945277e-05
454,6632,57.04836845397949,6.56895365779437e-05
1584,4248,57.04500961303711,6.568566897031663e-05
540,4855,56.898319244384766,6.551675927844711e-05
1286,2756,56.77206754684448,6.537138412174496e-05
61,3631,56.746745109558105,6.534222607191031e-05
604,1705,56.59049987792969,6.516231423330157e-05
44,4748,56.48622131347656,6.504224050008929e-05
1641,1643,56.47745132446289,6.503214211288359e-05
2,6127,56.44979667663574,6.500029859046178e-05
6226,6833,56.42333221435547,6.496982553207138e-05
7,5118,56.413960456848145,6.495903422595237e-05
579,4375,56.383941650390625,6.492446844364769e-05
1286,3101,56.21870994567871,6.473420894272497e-05
4,4518,56.19767761230469,6.470999082273426e-05
380,6483,56.193817138671875,6.470554559965807e-05
7,5958,56.12245273590088,6.462337156605762e-05
1364,3715,56.11075687408447,6.46099041214414e-05
231,295,56.08954429626465,6.458547845521518e-05
23,4683,56.0518741607666,6.454210239011892e-05
722,1340,55.81894111633301,6.427388676612827e-05
53,556,55.79601764678955,6.424749105785692e-05
247,3887,55.70319843292236,6.414061243345975e-05
1781,4881,55.67146301269531,6.410407002034054e-05
1286,1397,55.542476177215576,6.395554543187392e-05
604,5376,55.31914043426514,6.369838082132876e-05
